team_name,phase,count,success_rate,percent_of_total,count_percentile,success_rate_percentile,percent_of_total_percentile
Charlotte,attacking_freekick_second_phase,27,0.2222222222222222,0.002462604888726742,0.16666666666666666,0.38333333333333336,0.16666666666666666
Charlotte,attacking_throw_in,146,0.75,0.01331630791681868,0.5666666666666667,0.8666666666666667,0.6
Charlotte,buildup,1342,0.6947549441100602,0.12240058372856621,0.6166666666666667,0.9666666666666667,0.7333333333333333
Charlotte,corner,181,0.20114942528735633,0.016508573513316308,0.7,0.5333333333333333,0.8333333333333334
Charlotte,corner_second_phase,80,0.28205128205128205,0.0072966070777088655,0.5166666666666667,0.25,0.5333333333333333
Charlotte,counterattack,36,0.45714285714285713,0.003283473184968989,0.1,0.7666666666666667,0.13333333333333333
Charlotte,finishing,769,0.38231098430813126,0.07013863553447647,0.8666666666666667,0.8,0.9
Charlotte,high_transition,330,0.39184952978056425,0.030098504195549068,0.6833333333333333,0.9,0.7
Charlotte,kickoff,134,0.4263565891472868,0.012221816855162349,0.8,0.06666666666666667,0.8
Charlotte,long_goalkick,65,0.4,0.0059284932506384535,0.23333333333333334,0.3333333333333333,0.2
Charlotte,penalty,9,0.0,0.0008208682962422473,0.9310344827586207,0.5172413793103449,0.9655172413793104
Charlotte,possession_freekick,298,0.6391752577319587,0.027179861364465523,0.23333333333333334,0.4,0.3
Charlotte,possession_throw_in,373,0.5276243093922652,0.03402043049981759,0.13333333333333333,0.8333333333333334,0.2
Charlotte,progression,2012,0.4821648216482165,0.18350966800437796,0.8333333333333334,0.8,0.9666666666666667
Charlotte,securing_possession,895,0.5698393077873919,0.08163079168186793,0.23333333333333334,0.7333333333333333,0.23333333333333334
Charlotte,short_goalkick,159,0.5612903225806452,0.01450200656694637,0.6333333333333333,0.7166666666666667,0.5666666666666667
Chicago Fire,accelerated_possession,375,0.3697478991596639,0.03371392609907399,0.25,0.5333333333333333,0.26666666666666666
Chicago Fire,attacking_freekick,127,0.8571428571428571,0.011417782972219724,0.3333333333333333,0.8166666666666667,0.26666666666666666
Chicago Fire,attacking_freekick_second_phase,34,0.3235294117647059,0.003056729299649375,0.35,0.8666666666666667,0.3333333333333333
Chicago Fire,attacking_throw_in,162,0.59375,0.014564416074799963,0.8,0.06666666666666667,0.8666666666666667
Chicago Fire,buildup,1258,0.6152450090744102,0.11309898408702689,0.26666666666666666,0.4666666666666667,0.2
Chicago Fire,corner,165,0.19254658385093168,0.014834127483592556,0.43333333333333335,0.4,0.43333333333333335
Chicago Fire,corner_second_phase,74,0.33783783783783783,0.006652881416883934,0.38333333333333336,0.6666666666666666,0.36666666666666664
Chicago Fire,counterattack,49,0.42857142857142855,0.004405286343612335,0.7833333333333333,0.7,0.8
Chicago Fire,finishing,563,0.3895131086142322,0.05061584105007642,0.3333333333333333,0.8666666666666667,0.3
Chicago Fire,high_transition,365,0.3691860465116279,0.032814888069765354,0.9666666666666667,0.6,1.0
Chicago Fire,kickoff,143,0.5971223021582733,0.012856243819113548,0.9333333333333333,0.8666666666666667,0.8666666666666667
Chicago Fire,long_goalkick,91,0.4111111111111111,0.008181246066708621,0.5333333333333333,0.4666666666666667,0.4666666666666667
Chicago Fire,penalty,10,0.0,0.0008990380293086397,1.0,0.5172413793103449,1.0
Chicago Fire,possession_freekick,317,0.6709677419354839,0.02849950552908388,0.5333333333333333,0.8,0.43333333333333335
Chicago Fire,possession_throw_in,438,0.490521327014218,0.03937786568371842,0.7333333333333333,0.6,0.7333333333333333
Chicago Fire,progression,1975,0.4378411158277744,0.17756001078845635,0.8,0.36666666666666664,0.8666666666666667
Chicago Fire,securing_possession,949,0.576,0.0853187089813899,0.4666666666666667,0.8333333333333334,0.5333333333333333
Chicago Fire,short_goalkick,150,0.6326530612244898,0.013485570439629597,0.26666666666666666,0.9,0.4
Cincinnati,accelerated_possession,383,0.40821917808219177,0.03294623655913979,0.36666666666666664,0.9,0.13333333333333333
Cincinnati,attacking_freekick,95,0.8085106382978723,0.008172043010752689,0.05,0.4,0.03333333333333333
Cincinnati,attacking_freekick_second_phase,23,0.13043478260869565,0.001978494623655914,0.03333333333333333,0.06666666666666667,0.03333333333333333
Cincinnati,attacking_throw_in,164,0.6234567901234568,0.01410752688172043,0.8333333333333334,0.1,0.8333333333333334
Cincinnati,buildup,1390,0.5875102711585867,0.11956989247311828,0.8666666666666667,0.23333333333333334,0.6
Cincinnati,corner,184,0.15934065934065933,0.015827956989247313,0.7333333333333333,0.1,0.6333333333333333
Cincinnati,corner_second_phase,99,0.36363636363636365,0.008516129032258065,1.0,0.8,0.9666666666666667
Cincinnati,counterattack,60,0.41379310344827586,0.005161290322580645,0.9166666666666666,0.6,0.9
Cincinnati,finishing,695,0.3633633633633634,0.05978494623655914,0.7333333333333333,0.43333333333333335,0.7
Cincinnati,high_transition,356,0.35816618911174786,0.030623655913978493,0.8333333333333334,0.5,0.7666666666666667
Cincinnati,kickoff,132,0.5196850393700787,0.01135483870967742,0.7333333333333333,0.4,0.7
Cincinnati,long_goalkick,75,0.4594594594594595,0.0064516129032258064,0.3,0.7666666666666667,0.26666666666666666
Cincinnati,penalty,7,0.0,0.0006021505376344086,0.7586206896551724,0.5172413793103449,0.7241379310344828
Cincinnati,possession_freekick,301,0.6506849315068494,0.02589247311827957,0.3,0.7,0.2
Cincinnati,possession_throw_in,428,0.47596153846153844,0.03681720430107527,0.65,0.36666666666666664,0.3333333333333333
Cincinnati,progression,1868,0.4627151051625239,0.16068817204301075,0.5666666666666667,0.6,0.26666666666666666
Cincinnati,securing_possession,1039,0.56,0.0893763440860215,0.9,0.6,0.7333333333333333
Cincinnati,short_goalkick,156,0.5454545454545454,0.013419354838709678,0.5166666666666667,0.55,0.3333333333333333
Colorado Rapids,accelerated_possession,414,0.42385786802030456,0.03594374023267929,0.7166666666666667,1.0,0.6
Colorado Rapids,attacking_freekick,95,0.8105263157894737,0.008247959715228338,0.05,0.43333333333333335,0.06666666666666667
Colorado Rapids,attacking_freekick_second_phase,27,0.2962962962962963,0.002344156971696475,0.16666666666666666,0.7333333333333333,0.06666666666666667
Colorado Rapids,attacking_throw_in,130,0.6796875,0.011286681715575621,0.26666666666666666,0.4666666666666667,0.26666666666666666
Colorado Rapids,buildup,1369,0.6240786240786241,0.11885744052786942,0.7666666666666667,0.5333333333333333,0.5333333333333333
Colorado Rapids,corner,187,0.23118279569892472,0.016235457544712624,0.8666666666666667,0.8,0.7
Colorado Rapids,corner_second_phase,85,0.3058823529411765,0.007379753429414829,0.6833333333333333,0.4666666666666667,0.6
Colorado Rapids,counterattack,46,0.32608695652173914,0.003993748914742142,0.7,0.2,0.5666666666666667
Colorado Rapids,finishing,767,0.37749287749287747,0.06659142212189616,0.8333333333333334,0.7333333333333333,0.8333333333333334
Colorado Rapids,high_transition,311,0.412751677852349,0.027001215488800138,0.48333333333333334,0.9666666666666667,0.3
Colorado Rapids,kickoff,98,0.5051546391752577,0.00850842160097239,0.13333333333333333,0.3333333333333333,0.1
Colorado Rapids,long_goalkick,100,0.31313131313131315,0.008682062858135093,0.5666666666666667,0.1,0.6
Colorado Rapids,penalty,3,0.0,0.0002604618857440528,0.15517241379310345,0.5172413793103449,0.1724137931034483
Colorado Rapids,possession_freekick,296,0.6413793103448275,0.025698906060079876,0.2,0.43333333333333335,0.16666666666666666
Colorado Rapids,possession_throw_in,478,0.4617067833698031,0.04150026046188574,0.8333333333333334,0.16666666666666666,0.8
Colorado Rapids,progression,2022,0.4783878504672897,0.17555131099149157,0.9,0.7666666666666667,0.8
Colorado Rapids,securing_possession,967,0.5500575373993095,0.08395554783816635,0.55,0.5,0.43333333333333335
Colorado Rapids,short_goalkick,135,0.5454545454545454,0.011720784858482375,0.15,0.55,0.13333333333333333
Columbus Crew,accelerated_possession,404,0.37851662404092073,0.04031936127744511,0.6,0.7,0.9666666666666667
Columbus Crew,attacking_freekick,126,0.7983870967741935,0.012574850299401197,0.26666666666666666,0.2,0.5333333333333333
Columbus Crew,attacking_freekick_second_phase,25,0.2,0.00249500998003992,0.06666666666666667,0.2,0.2
Columbus Crew,attacking_throw_in,106,0.7358490566037735,0.010578842315369262,0.03333333333333333,0.8333333333333334,0.1
Columbus Crew,buildup,1350,0.5909471919530596,0.1347305389221557,0.6666666666666666,0.3,1.0
Columbus Crew,corner,118,0.24786324786324787,0.011776447105788424,0.1,0.8666666666666667,0.13333333333333333
Columbus Crew,corner_second_phase,48,0.2708333333333333,0.004790419161676647,0.03333333333333333,0.16666666666666666,0.1
Columbus Crew,counterattack,50,0.46,0.00499001996007984,0.8333333333333334,0.8333333333333334,0.8666666666666667
Columbus Crew,finishing,427,0.3308641975308642,0.04261477045908184,0.1,0.1,0.13333333333333333
Columbus Crew,high_transition,246,0.32644628099173556,0.024550898203592814,0.06666666666666667,0.2,0.13333333333333333
Columbus Crew,kickoff,119,0.6206896551724138,0.01187624750499002,0.6333333333333333,0.9333333333333333,0.7333333333333333
